Sample,Noelaerhabdaceae
Lasker18Sc122_3_D0052,0.031148166632416405
Lasker18Sc122_5_D0053,0.02343400015447594
Lasker18Sc122_17_D0057,0.01078368427259267
Lasker18Sc122_19_D0058,0.014332087064892907
Lasker18Sc123_3_D0063,0.02827360103118783
Lasker18Sc123_5_D0064,0.0265794316090779
Lasker18Sc123_17_D0068,0.04154302670623145
Lasker18Sc123_19_D0069,0.026722249971183772
Lasker18Sc124_3_D0073,0.006376328401750364
Lasker18Sc124_5_D0074,0.01342949146003057
Lasker18Sc124_17_D0078,0.01725331487299643
Lasker18Sc124_19_D0079,0.016998406399400055
Lasker18Sc126_3_D0085,0.017008037334716102
Lasker18Sc126_5_D0086,0.0047985265130707335
Lasker18Sc126_17_D0090,0.03308621636463482
Lasker18Sc127_3_D0095,0.010858509497759574
Lasker18Sc127_5_D0096,0.01357786113952989
Lasker18Sc127_17_D0100,0.04215240898330028
Lasker18Sc127_19_D0101,0.02537399976806216
Lasker18Sc128_3_D0105,0.015842704575995473
Lasker18Sc128_7_D0107,0.011416814587703727
Lasker18Sc128_16_D0110,0.051318652624249284
Lasker18Sc128_19_D0111,0.048207792207792206
Lasker18Sc129_3_D0116,0.003861130198619155
Lasker18Sc129_5_D0117,0.003939050400630248
Lasker18Sc129_17_D0121,0.07891849011700933
Lasker18Sc129_19_D0122,0.06669980942911592
Lasker18Sc130_3_D0127,0.00888422675115602
Lasker18Sc130_5_D0128,0.005098411192791084
Lasker18Sc130_17_D0132,0.01458137347130762
Lasker18Sc130_19_D0133,0.010796055759174347
Lasker18Sc132_3_D0137,0.007392225497420781
Lasker18Sc132_5_D0138,0.0017858939531139953
Lasker18Sc132_17_D0142,0.012693601098849051
Lasker18Sc132_19_D0143,0.011881253291205898
Lasker18Sc133_3_D0147,0.003300755563578225
Lasker18Sc133_5_D0148,0.0024586866143140266
Lasker18Sc133_17_D0152,0.0022062113334464723
Lasker18Sc133_19_D0153,0.003113829826436231
Lasker18Sc134_3_D0158,0.0040416855459900316
Lasker18Sc134_5_D0159,0.004921278763528711
Lasker18Sc134_17_D0163,0.011675168444311082
Lasker18Sc134_19_D0164,0.0061369625645283565
Lasker18Sc135_17_D0173,0.003881236608509336
Lasker18Sc135_19_D0174,0.004094000092519776
Lasker18Sc145_3_D0219,0.0012845902692287107
Lasker18Sc145_5_D0220,0.0034823529411764707
Lasker18Sc145_17_D0224,1.5808277213949223e-05
Lasker18Sc145_19_D0225,8.243275547971742e-06
Lasker18Sc150_3_D0229,0.002273579013116802
Lasker18Sc150_5_D0230,0.0032477440167400498
Lasker18Sc150_17_D0234,0.012411098304894161
Lasker18Sc150_19_D0235,0.011580866394652313
Lasker18Sc151_3_D0240,0.0
Lasker18Sc151_5_D0241,0.00018826187226431967
Lasker18Sc151_17_D0245,0.0016178185785770721
Lasker18Sc151_19_D0246,0.0022112491063560943
Lasker18Sc153_3_D0250,0.008451386366388182
Lasker18Sc153_5_D0251,0.00821962847279303
Lasker18Sc153_17_D0255,0.0007531470788652584
Lasker18Sc153_19_D0256,0.0027978650137741048
Lasker18Sc154_3_D0260,0.00021284359036730723
Lasker18Sc154_5_D0261,0.0004929022082018927
Lasker18Sc154_17_D0265,0.01221264367816092
Lasker18Sc154_19_D0266,0.010006559177509648
Lasker18Sc158_3_D0270,0.006211012395020388
Lasker18Sc158_5_D0271,0.006637954877711486
Lasker18Sc158_17_D0275,0.005269414902162388
Lasker18Sc158_19_D0276,0.006407444840672019
